SuperBuiltUp Area,Area,Carpet Area,Price,FloorNumber,Parking,Furnishing,Location,Flooring,Bathrooms,Bedrooms,Balconies,Property
,,590,240,4,2,,Juhu Koliwada,Vitrified,2,2,3,Residential Apartment
,610,,58,1,1,,Dombivli (West),,1,1,0,Residential Apartment
2400,2150,1700,280,2,1,Furnished,Sanpada,Ceramic,3,3,3,Residential Apartment
1165,1100,750,69.5,9,1,,Sector 23 Ulwe,Vitrified,2,2,2,Residential Apartment
700,,480,19,7,1,,Shirgaon,Vitrified,1,1,2,Residential Apartment
1000,750,600,65,7,,Unfurnished,Sector 19 Kamothe,Vitrified,2,2,2,Residential Apartment
630,600,430,48,5,1,Unfurnished,Sector-34A Kharghar,Vitrified,1,1,2,Residential Apartment
,,350,15,3,,,Trombay Koliwada,,1,1,0,Independent House/Villa
650,550,454,69.66,4,1,Unfurnished,Majiwada,Vitrified,2,1,0,Residential Apartment
1569,1469,1046,310,6,1,Semifurnished,Ghatkopar West,Vitrified,2,2,2,Residential Apartment
3010,,1865,450,6,1,Semifurnished,Mulund (West),Vitrified,4,4,3,Residential Apartment
2500,,,210,28,1,Unfurnished,Sector-35E Kharghar,Vitrified,3,3,3,Residential Apartment
670,500,400,42,4,,,Ulwe,Vitrified,1,1,2,Residential Apartment
745,,485,23.85,3,,Semifurnished,Palghar,Vitrified,2,2,3,Residential Apartment
2400,2300,1600,550,5,1,Semifurnished,Chembur,Vitrified,4,4,3,Residential Apartment
1850,1800,1300,159,12,1,,Sector-8 Kharghar,Vitrified,3,3,3,Residential Apartment
485,,,24,3,1,Semifurnished,Nalasopara (West),Vitrified,1,1,1,Residential Apartment
1290,1200,870,145,9,1,Unfurnished,kavesar,,2,2,1,Residential Apartment
990,900,800,98,10,1,Unfurnished,Sector 3 Kharghar,Vitrified,2,2,2,Residential Apartment
740,700,,58,4,1,Furnished,Sector-35D Kharghar,Ceramic,1,1,1,Residential Apartment
1165,1100,750,72.5,12,1,,Sector 23 Ulwe,Vitrified,2,2,2,Residential Apartment
1078,,,96,9,1,Unfurnished,Sector-35G Kharghar,Vitrified,2,2,3,Residential Apartment
750,652,437,120,3,1,Unfurnished,Pratikhsha Nagar,,1,1,0,Residential Apartment
,,415,18,,2,,Kalyan (East),,1,1,0,Residential Apartment
3080,3000,2200,199,13,1,,Sector 15 Belapur,Vitrified,5,4,3,Residential Apartment
2550,2549,2200,600,7,3,Unfurnished,Manpada,Vitrified,4,4,3,Residential Apartment
870,,,130,11,1,,kurla (west),Vitrified,3,2,0,Residential Apartment
855,,580,33.53,7,1,Semifurnished,Virar West,Vitrified,2,2,2,Residential Apartment
827,,,55,4,,Unfurnished,Sector 19 Kamothe,Vitrified,2,2,3,Residential Apartment
300,,185,36,1,1,Unfurnished,Nane Pada,Mosaic,1,1,1,Residential Apartment
1256,1210,876,234,5,1,,Kanjur Marg (East),Vitrified,2,3,1,Residential Apartment
1450,1350,900,132,3,1,Unfurnished,Manpada,Vitrified,3,3,0,Residential Apartment
1000,992,650,80,3,1,Unfurnished,Sector-18 Ulwe,Vitrified,2,2,2,Residential Apartment
1923,,,245,10,1,Unfurnished,Palm Beach,,3,3,2,Residential Apartment
850,,610,35.91,8,1,Semifurnished,Virar West,Vitrified,2,2,3,Residential Apartment
,,1267,317,18,1,Unfurnished,Goregaon (West),Vitrified,4,4,3,Residential Apartment
585,,,38,6,,,Dombivli (East),,1,1,0,Residential Apartment
1050,850,680,62,9,1,Unfurnished,Roadpali,Vitrified,2,2,3,Residential Apartment
1020,,728,137,19,1,Unfurnished,Jankalyan Nagar,Vitrified,2,2,3,Residential Apartment
660,,,75,1,1,Furnished,Bhayander (West),Marble,1,2,0,Residential Apartment
530,,,25,2,,,gi,Spartex,1,1,0,Residential Apartment
3888,,,1100,40,3,Semifurnished,Lower Parel,Marble,4,4,3,Residential Apartment
,,411,99,4,,Furnished,Satya Nagar,Vitrified,1,1,0,Residential Apartment
880,,680,95,7,,,Kasar vadavali,,2,2,3,Residential Apartment
667,600,460,55,6,1,Unfurnished,Sector 10 Kharghar,Vitrified,1,1,2,Residential Apartment
,1180,,120,17,1,Unfurnished,Sector 20 Kharghar,Vitrified,2,2,3,Residential Apartment
1010,1000,800,86,4,1,Unfurnished,Sector-37 Taloja,Vitrified,2,2,3,Residential Apartment
630,600,430,56,5,1,Semifurnished,Thane West,Vitrified,2,1,0,Residential Apartment
580,,,62.8,6,1,Unfurnished,Bonkode,Vitrified,1,1,2,Residential Apartment
1525,,,108,11,1,Unfurnished,Roadpali,Vitrified,3,3,3,Residential Apartment
915,,,118,5,1,Unfurnished,Sector 19A Nerul,Mosaic,2,2,0,Residential Apartment
1165,1100,750,71.9,11,1,Unfurnished,Sector 23 Ulwe,Vitrified,2,2,2,Residential Apartment
1470,,,91.5,7,1,Unfurnished,Sector-18 Ulwe,Vitrified,2,3,3,Residential Apartment
1285,,,135,7,1,Unfurnished,Sector-50 Seawoods,Vitrified,2,2,3,Residential Apartment
1031,,,98,3,1,Unfurnished,Sector-5 Kharghar,Vitrified,2,2,2,Residential Apartment
,,347,17,1,1,,Neral,,1,1,0,Residential Apartment
1405,1250,930,240,6,2,Furnished,Borivali (East),Marble,3,3,3,Residential Apartment
1065,1000,865,99,2,1,Unfurnished,Ranjanpada,Vitrified,2,2,2,Residential Apartment
650,,410,44,6,1,Unfurnished,Mira Road East,Vitrified,1,1,2,Residential Apartment
600,,,28,7,,,Nalasopara East,,2,1,2,Residential Apartment
