SuperBuiltUp Area,Area,Carpet Area,Price,FloorNumber,Parking,Furnishing,Location,Flooring,Bathrooms,Bedrooms,Balconies,Property
1550,1500,,210,6,1,,Chembur (East),,3,3,1,Residential Apartment
,456,,132,5,1,,Wadala East,Vitrified,1,1,0,Residential Apartment
440,430,420,30,3,,,dayal Nagar,,1,1,0,Residential Apartment
875,,,160,4,1,Furnished,Marol,Vitrified,2,2,3,Residential Apartment
,640,480,61,5,,Semifurnished,Jesal Park,Granite,1,1,0,Residential Apartment
645,,,42,1,1,Unfurnished,Sector 20 Ulwe,Vitrified,1,1,3,Residential Apartment
1000,,,38.5,6,1,,Ambernath East,Vitrified,2,2,3,Residential Apartment
,625,475,180,4,1,Furnished,Parel,Granite,1,1,1,Residential Apartment
,1098,900,70,2,1,Unfurnished,Nilje Gaon,Marble,2,3,2,Residential Apartment
1125,1120,725,60,10,1,,Karanjade,Vitrified,2,2,3,Residential Apartment
,760,570,65.44,7,,Furnished,Bhayander (West),Vitrified,1,1,0,Residential Apartment
,1750,,245,12,1,,Lokhandwala township,,3,3,3,Residential Apartment
,1000,720,325,1,1,,Bandra (West),,2,2,2,Residential Apartment
870,,650,150,3,1,,I C Colony,Vitrified,2,2,0,Residential Apartment
895,850,650,33,2,,Furnished,Gopal Nagar,,2,2,0,Residential Apartment
1470,,965,145,17,2,Semifurnished,kavesar,Vitrified,3,3,3,Residential Apartment
,640,,59,6,1,,Mira Road,Marble,1,1,3,Residential Apartment
1722,1250,1042,310,6,1,Furnished,Chembur,Vitrified,3,3,0,Residential Apartment
790,,,80,3,,Furnished,kavesar,Ceramic,2,2,0,Residential Apartment
640,610,450,40,6,1,Unfurnished,Karanjade,Vitrified,1,1,2,Residential Apartment
,610,520,31,2,2,,Panvel,Vitrified,2,1,3,Residential Apartment
735,635,449,84,12,1,Unfurnished,Bhandup (West),Vitrified,2,1,1,Residential Apartment
900,,700,149,7,1,Semifurnished,Ambedkar Nagar,,2,2,0,Residential Apartment
1175,,,85,7,1,Unfurnished,Sector 20 Ulwe,Vitrified,2,2,3,Residential Apartment
,550,406,20,4,2,Unfurnished,Nalasopara (West),Vitrified,1,1,3,Residential Apartment
850,810,660,80,10,2,,Owale,Vitrified,2,2,0,Residential Apartment
,500,,47,2,1,,Ambika Nagar,,1,1,0,Residential Apartment
1165,,,95,9,1,Unfurnished,Sector-9 Ulwe,Vitrified,2,2,3,Residential Apartment
,560,,18,1,,,Hendre Pada,Spartex,1,1,0,Residential Apartment
800,730,600,95,7,1,,Vasant Vihar,,1,2,1,Residential Apartment
975,,,165,24,,Unfurnished,Thakur Village,Ceramic,2,2,2,Residential Apartment
850,800,600,36,1,1,,Palaspe Phata,Vitrified,1,2,1,Residential Apartment
,490,,49,2,5,,RBI Colony,Vitrified,1,1,0,Residential Apartment
2500,2000,1750,576,1,2,Semifurnished,Chembur (East),Marble,4,4,0,Residential Apartment
1150,,,95,14,1,Unfurnished,Kharghar,Vitrified,2,2,2,Residential Apartment
785,650,550,225,2,1,Semifurnished,Santacruz (West),Ceramic,1,1,0,Residential Apartment
410,,,22.5,4,2,,Ambernath,Vitrified,1,1,1,Residential Apartment
670,,,50,5,1,Unfurnished,Sector 18 Kamothe,Vitrified,1,1,2,Residential Apartment
1816,1800,1100,550,6,1,Furnished,Gandhi Nagar,Vitrified,4,3,1,Residential Apartment
1995,1900,1235,425,22,2,Semifurnished,Parmanand Wadi,Marble,3,3,0,Residential Apartment
,410,,29,4,1,Unfurnished,Sector 21 Kamothe,Vitrified,1,1,0,Other
1143,,716,225,15,1,Semifurnished,Ghatkopar West,Vitrified,2,2,2,Residential Apartment
1448,1447,999,195,15,2,Semifurnished,Wagle Estate,Marble,3,3,2,Residential Apartment
1760,1550,1370,165,8,1,,Sector 12 Kharghar,Vitrified,3,3,3,Residential Apartment
500,,330,22,6,2,Unfurnished,Naigaon (East),Vitrified,1,1,3,Residential Apartment
630,,410,25.25,2,1,Semifurnished,Virar West,Vitrified,2,1,1,Residential Apartment
1345,,970,145,2,1,Furnished,kavesar,Vitrified,3,3,2,Residential Apartment
943,,610,40,8,1,Semifurnished,Virar West,Vitrified,2,2,2,Residential Apartment
1091,1050,750,80,20,1,Unfurnished,Panvel,Vitrified,2,2,2,Residential Apartment
1215,,,500,4,2,,Tardeo,,2,2,0,Residential Apartment
1250,1139,820,115,23,1,,Sector 36 Kharghar,Vitrified,2,2,3,Residential Apartment
380,375,360,67,6,1,Furnished,e Nagar,,1,1,0,Residential Apartment
585,500,455,110,6,1,Semifurnished,Borivali (East),Vitrified,2,1,1,Residential Apartment
615,,390,45,3,1,Semifurnished,Mira Road,Vitrified,1,1,2,Residential Apartment
,1002,700,82,5,1,Unfurnished,Kalwa,Vitrified,2,2,2,Residential Apartment
,,755,157,5,1,,Powai,Vitrified,2,2,0,Residential Apartment
,470,329,19.5,7,2,Unfurnished,Shriprastha,Vitrified,1,1,0,Residential Apartment
874,800,650,57,13,1,Unfurnished,Panvel,Vitrified,1,1,2,Residential Apartment
525,450,325,30.5,4,1,Unfurnished,Sector 19 Kamothe,Granite,1,1,1,Residential Apartment
1315,,,315,15,1,Unfurnished,Wadala East,Vitrified,3,3,,Residential Apartment
,328,,10,2,,,LIG Colony,,1,1,0,Residential Apartment
950,850,,95,2,1,Semifurnished,Sector-7 Ghansoli,Vitrified,2,2,3,Residential Apartment
,525,515,59,2,1,,Shrikhande Wadi,Spartex,1,2,0,Residential Apartment
1550,1390,810,235,39,1,Semifurnished,Malad (East),Marble,2,2,3,Residential Apartment
,,660,180,3,1,Unfurnished,Kandivali (West),,2,2,0,Residential Apartment
,470,329,20,4,2,Unfurnished,Nalasopara (West),Vitrified,1,1,3,Residential Apartment
1390,,,68,13,1,Unfurnished,Mira Road,Vitrified,3,3,3,Residential Apartment
1090,,740,190,8,1,Furnished,Lokhandwala township,,2,2,2,Residential Apartment
225,,,13.5,3,,Unfurnished,Chandivali,,1,1,1,Residential Apartment
725,525,438,114,1,1,Semifurnished,Chembur,Vitrified,1,1,0,Residential Apartment
,,623,70.34,2,1,Semifurnished,New Panvel,Vitrified,2,2,1,Residential Apartment
650,,,57,5,1,Unfurnished,Sector-25 Kamothe,Vitrified,1,1,3,Residential Apartment
975,,,73.12,5,1,Unfurnished,Bevarly Park,Vitrified,2,2,3,Residential Apartment
1100,900,800,66,14,,Unfurnished,Kashimira,Vitrified,2,2,2,Residential Apartment
1325,1260,870,92,9,1,Unfurnished,Kharghar,Vitrified,2,2,2,Residential Apartment
,325,,26,4,,Unfurnished,Bhayander (West),Vitrified,1,1,0,Residential Apartment
,,636,82,1,1,Unfurnished,Ghodbunder Road,Vitrified,2,2,2,Residential Apartment
700,695,459,23.1,6,1,Unfurnished,Badlapur (East),Vitrified,1,1,3,Residential Apartment
716,,501,26.13,3,1,Semifurnished,Boisar,Vitrified,1,2,1,Residential Apartment
587,,,43,7,1,Unfurnished,Kamothe,Vitrified,1,1,3,Residential Apartment
665,,,55,8,1,Unfurnished,Sector 17 Ulwe,Vitrified,1,1,2,Residential Apartment
,1250,993,110,10,1,Unfurnished,Ghodbunder Road,Vitrified,3,3,2,Residential Apartment
,1250,950,89,5,1,,Sector-9 Ulwe,Vitrified,2,2,3,Residential Apartment
,623,,62,3,1,Unfurnished,Sector-13 Kharghar,Vitrified,1,1,2,Residential Apartment
1025,,,75,1,1,Unfurnished,Sector-8 Ulwe,Vitrified,2,2,3,Residential Apartment
1194,,,82,4,1,Unfurnished,Sector-35G Kharghar,,2,2,3,Residential Apartment
510,,346,17.85,4,1,Unfurnished,Badlapur (East),Vitrified,1,1,1,Residential Apartment
777,770,580,70,5,1,,Thane West,,2,2,2,Residential Apartment
,1150,750,220,12,1,,Borivali (West),,2,2,0,Residential Apartment
1500,,1150,1050,2,1,Semifurnished,Altamount Road,Vitrified,3,3,1,Residential Apartment
,280,180,30,,1,,Malad (West),,1,1,0,Residential Apartment
750,540,,55,2,2,,Palm Beach,Vitrified,1,1,3,Residential Apartment
1000,920,800,95,11,1,Unfurnished,Sector 18 Kamothe,Vitrified,2,2,2,Residential Apartment
,,750,189,11,1,,Malad (East),Marble,2,2,3,Residential Apartment
,,1200,500,2,1,,Vile Parle (West),,3,3,0,Residential Apartment
637,500,400,110,2,1,Semifurnished,Andheri (East),,1,1,1,Residential Apartment
630,510,420,35,9,1,Unfurnished,Taloja,Vitrified,1,1,3,Residential Apartment
1302,,,82,6,1,Unfurnished,Sector 21 Ulwe,Vitrified,2,2,3,Residential Apartment
,1211,745,90,14,2,Unfurnished,Kalyan (West),Vitrified,2,2,3,Residential Apartment
525,,,80,6,,,Dahisar East Police Station,Marble,1,1,1,Residential Apartment
533,,,18.5,1,1,Unfurnished,d,Vitrified,1,1,1,Residential Apartment
1165,1100,670,300,7,1,,Vile Parle (East),Marble,2,2,1,Residential Apartment
810,600,513,183,6,1,Unfurnished,Wadala,Marble,1,1,0,Residential Apartment
,680,470,55,3,1,Unfurnished,Kasar vadavali,Vitrified,2,1,2,Residential Apartment
,530,385,105,8,1,,Chembur (West),Vitrified,2,1,2,Residential Apartment
874,,475,49.35,18,1,Semifurnished,Panvel,Vitrified,1,1,2,Residential Apartment
,,720,120,10,1,Unfurnished,Thane West,,2,2,1,Residential Apartment
,,1865,1200,16,2,Unfurnished,Khar West,,6,4,1,Residential Apartment
625,,,100,9,,Semifurnished,Bhandup (West),Vitrified,2,1,,Residential Apartment
550,500,480,50,4,,Furnished,Bhayander (West),Cement,1,1,3,Residential Apartment
1205,1100,730,155,11,1,,Andheri (East),,2,2,2,Residential Apartment
,,550,18,5,,,Kharvai,,1,1,3,Residential Apartment
460,380,325,22,1,,Unfurnished,Nalasopara (West),Ceramic,1,1,1,Residential Apartment
954,,,115,17,,Unfurnished,Majiwada,,2,2,2,Residential Apartment
565,430,358,40,4,1,Semifurnished,Sector-20 Roadpali,Vitrified,1,1,2,Residential Apartment
,835,585,55,4,,,Sector 20 Ulwe,Vitrified,2,2,3,Residential Apartment
,660,432,80,11,1,,Majiwada,,1,1,0,Residential Apartment
425,400,375,7,1,1,Semifurnished,Nalasopara East,Vitrified,1,1,0,Residential Apartment
1213,1210,800,68.5,6,1,Unfurnished,Karanjade,Vitrified,2,2,3,Residential Apartment
693,540,460,30,3,1,,Taloja,Vitrified,1,1,2,Residential Apartment
828,,,27,1,1,Unfurnished,d,Vitrified,2,2,3,Residential Apartment
2200,,1600,400,18,2,Furnished,Ushma Nagar,Vitrified,4,4,1,Residential Apartment
2500,2000,1300,1350,9,2,Unfurnished,Santacruz (West),Vitrified,5,4,3,Residential Apartment
550,540,375,28,3,1,Unfurnished,Karanjade,Vitrified,1,1,1,Other
1030,,,50,1,,,Anupam nagar,Others,2,1,2,Residential Apartment
,444,270,58,14,1,,Mulund (West),,1,1,0,Residential Apartment
565,,,72,5,1,Semifurnished,Ghodbunder Road,Vitrified,1,1,2,Residential Apartment
,600,,26.4,1,2,Unfurnished,Titwala,Vitrified,2,1,3,Residential Apartment
,998,699,34.92,1,,Unfurnished,Badlapur (East),Vitrified,3,3,2,Residential Apartment
,1152,749.45,80,12,1,Unfurnished,Sector 17 Ulwe,Vitrified,2,2,3,Residential Apartment
650,,,78,4,1,Unfurnished,Sanpada,Vitrified,1,1,2,Residential Apartment
,950,,115,7,1,,Thane West,Vitrified,2,2,0,Residential Apartment
585,,448,40,4,1,Unfurnished,Dombivli (East),Ceramic,1,1,0,Residential Apartment
450,385,370,48,,1,Semifurnished,Rabodi Koliwada,Vitrified,1,1,0,Residential Apartment
1080,,,87,9,1,Unfurnished,Sector-9 Ulwe,Vitrified,2,2,1,Residential Apartment
1200,,,310,12,1,Unfurnished,Goregaon (East),Marble,2,3,2,Residential Apartment
1650,1240,990,222,10,2,Unfurnished,Borivali (West),Vitrified,3,3,3,Residential Apartment
,1098,798,77,16,1,Unfurnished,Dombivli (East),Wood,2,3,1,Residential Apartment
,1450,875,240,15,1,Furnished,Ghatkopar West,Marble,3,3,0,Residential Apartment
650,585,450,75,4,1,Furnished,Pokhran-2,Vitrified,1,1,0,Residential Apartment
1566,,1051,365,37,1,Unfurnished,Goregaon (East),,4,3,2,Residential Apartment
,508,419,68,4,1,Furnished,Thane West,Vitrified,1,1,0,Residential Apartment
490,,,14,4,,,Diva,,1,1,0,Residential Apartment
,1488,1030,250,11,2,Semifurnished,Bhandup (West),Vitrified,3,3,2,Residential Apartment
690,600,420,32,3,1,Unfurnished,Taloja,Vitrified,1,1,1,Residential Apartment
1500,,,600,5,1,Furnished,Tardeo,,2,2,0,Residential Apartment
890,,,75,2,20,Semifurnished,Ambadi road,Marble,2,2,1,Residential Apartment
664,,,54,3,1,Furnished,Sai Nagar,Vitrified,1,1,2,Residential Apartment
2150,1990,1662,868,18,1,Unfurnished,Sion (East),Marble,4,4,1,Residential Apartment
,,304,95,2,,Unfurnished,Mulund (West),,1,1,1,Other
685,,,55,1,,Unfurnished,Sector-25 Khandeshhwar,Vitrified,1,1,2,Residential Apartment
,,615,350,4,1,Semifurnished,Bandra (West),,2,1,0,Residential Apartment
,600,,100,2,,Furnished,Gangawadi,Marble,1,1,0,Residential Apartment
840,,579.3,45,7,1,Unfurnished,Vasai East,Vitrified,2,2,0,Residential Apartment
850,,,69,2,,,Indralok Phase 6,,2,2,0,Residential Apartment
1098,,798,78,17,1,,Dombivli (East),Vitrified,2,3,1,Residential Apartment
,,615,108,4,1,Unfurnished,Jankalyan Nagar,,2,2,0,Residential Apartment
1140,,,85,8,1,Unfurnished,Ulwe,Vitrified,2,2,3,Residential Apartment
,864,632,54,11,1,Unfurnished,Dombivli (East),Vitrified,2,2,0,Residential Apartment
2345,,1518,379,17,2,Unfurnished,Chandivali,Marble,3,4,1,Residential Apartment
1263,1100,965,95,19,1,Unfurnished,Kharghar,Vitrified,2,2,3,Residential Apartment
1125,,,85,5,1,Unfurnished,Sector-9 Ulwe,Vitrified,2,2,3,Residential Apartment
,,600,160,1,1,Furnished,Borivali (West),Ceramic,1,2,0,Residential Apartment
,,1009,464,11,1,Unfurnished,Bandra Kurla Complex,Marble,2,2,2,Residential Apartment
2070,,1288,410,7,2,Unfurnished,Powai,Marble,3,3,3,Residential Apartment
,370,,35,,,,kurla (west),,1,1,0,Residential Apartment
1400,,,325,16,1,,Sahakar Nagar,,2,3,3,Residential Apartment
,1200,,40,2,1,,Vasai Road,Vitrified,5,4,2,Independent House/Villa
1666,,1099,283,17,2,Semifurnished,Chandivali,Marble,2,3,1,Residential Apartment
550,525,400,23.5,,2,Unfurnished,Ambernath,Marble,1,1,0,Residential Apartment
,774,584,44.25,6,1,Unfurnished,Nilje Gaon,Vitrified,2,2,1,Residential Apartment
,850,,47,2,1,Unfurnished,Ulwe,Vitrified,2,2,3,Residential Apartment
,774,586,44.25,5,1,Unfurnished,Dombivli (East),Vitrified,2,2,1,Residential Apartment
840,714,672,40,10,,,New Bhiwandi,,2,2,3,Residential Apartment
1200,,,130,5,1,Unfurnished,Sector 11 Koparkhairane,Vitrified,2,2,3,Residential Apartment
,693,494,36,3,1,Unfurnished,Nilje Gaon,Vitrified,1,1,1,Residential Apartment
,1678,,201,6,1,Unfurnished,Seawoods,Vitrified,3,3,3,Residential Apartment
1150,1050,650,100,8,1,Unfurnished,Sector 19 Kharghar,Vitrified,2,2,2,Residential Apartment
,675,,45.5,4,1,Unfurnished,Sector 17 Ulwe,Vitrified,2,1,3,Residential Apartment
,,510,89,6,1,,Amar Nagar,,2,1,0,Residential Apartment
1055,,632,145,12,1,,Tilak Nagar,Vitrified,2,2,1,Residential Apartment
,705,,56,2,2,,Rambaug,Mosaic,1,2,2,Residential Apartment
,586,,130,3,1,,Goregaon (East),,2,1,0,Residential Apartment
500,,,89,,1,Furnished,Sector-46 Seawoods,Vitrified,1,2,0,Residential Apartment
1180,,828,240,10,2,,Raheja Vihar,Marble,2,2,1,Residential Apartment
2225,1870,1489.41,575,25,3,Furnished,Parel,,3,3,3,Residential Apartment
500,,,65,,1,Furnished,Sector-48 Seawoods,Vitrified,1,1,0,Residential Apartment
1108,1027,720,99,25,1,Unfurnished,Kasar vadavali,Vitrified,2,2,1,Residential Apartment
570,,370,15.68,3,2,Semifurnished,Palghar,Vitrified,1,1,2,Residential Apartment
,550,,40,1,,,kurla (west),,1,2,1,Residential Apartment
,,458,52,1,1,Semifurnished,Anjurdive,Vitrified,1,1,1,Residential Apartment
625,600,590,55,3,,Unfurnished,Koperkhairane,Ceramic,1,1,0,Residential Apartment
575,,,91,7,1,,Lokhandwala township,,1,1,0,Residential Apartment
1350,1200,950,260,7,1,Furnished,Tilak Nagar,Vitrified,3,3,0,Residential Apartment
,785,630,59.5,5,,,Balkum thane,Marble,1,2,0,Residential Apartment
,,717,170,2,1,Unfurnished,Andheri (East),Vitrified,2,2,0,Residential Apartment
612,610,452,75,2,1,Furnished,Dhokali,Vitrified,2,1,1,Residential Apartment
834,799,525,65,7,1,Unfurnished,Shilphata,Vitrified,2,2,1,Residential Apartment
699,698,425,105,5,2,Unfurnished,Andheri (East),Vitrified,2,1,0,Residential Apartment
,550,,72,4,,Furnished,Vasant Vihar,Vitrified,1,1,0,Residential Apartment
,920,,49,2,1,Unfurnished,Ulwe,Vitrified,2,2,3,Residential Apartment
,,428,20.54,4,1,Unfurnished,Ambernath,Vitrified,1,1,2,Residential Apartment
,640,,32,1,1,,Sector-11 Taloja,Mosaic,1,1,3,Residential Apartment
,,,425,2,1,Unfurnished,Sector 9 Nerul,,4,3,2,Independent House/Villa
2000,1800,,235,1,2,Unfurnished,Sector 21 Nerul,,3,3,0,Residential Apartment
550,,360,22,4,1,Semifurnished,Morya Nagar,Marble,1,1,3,Residential Apartment
,980,,105,7,1,Furnished,Vasant Vihar,Vitrified,2,2,0,Residential Apartment
,1165,730,200,32,1,Semifurnished,Mulund (West),Vitrified,2,2,3,Residential Apartment
1300,,,160,10,1,,Bhayander (West),Vitrified,3,3,3,Residential Apartment
590,490,390,23.5,7,2,Semifurnished,Nalasopara (West),Vitrified,1,1,2,Residential Apartment
1100,,897,240,5,2,,Raheja Vihar,Marble,3,3,1,Residential Apartment
1700,1505,1200,425,6,1,Semifurnished,Lokhandwala,Mosaic,3,3,2,Residential Apartment
,375,280,24,2,1,,Sector-35D Kharghar,Vitrified,1,1,1,Other
,1064,,63.5,2,1,,Taloja Panchanand,,2,2,3,Residential Apartment
,1080,740,70,5,1,Unfurnished,Owe Village,,2,2,3,Residential Apartment
850,775,650,60,,1,Unfurnished,Kharegaon,Vitrified,1,2,1,Residential Apartment
385,,,65,1,1,Unfurnished,Mandapeshwar,,1,1,0,Other
1500,1400,1100,160,9,1,Semifurnished,Sector 7 Kharghar,Vitrified,3,3,3,Residential Apartment
1150,900,690,165,10,2,Unfurnished,Borivali (West),Vitrified,2,2,3,Residential Apartment
,650,,110,3,1,Furnished,Malad (East),Vitrified,2,1,1,Residential Apartment
1200,,,75,3,1,,Khadakpada,Vitrified,2,2,1,Residential Apartment
1700,1600,1400,165,12,1,Unfurnished,Sector 20 Kharghar,Vitrified,3,3,3,Residential Apartment
595,,,23,5,1,Semifurnished,Morya Nagar,,1,1,2,Residential Apartment
1475,,,180,14,1,Unfurnished,Khadakpada,Cement,3,3,1,Residential Apartment
400,340,280,16,1,,Unfurnished,Vasai East,Vitrified,1,1,0,Other
,600,,55,3,1,Unfurnished,Sector 12 Kharghar,Vitrified,1,1,1,Residential Apartment
690,510,410,32,6,1,Unfurnished,Taloja Panchanand,Vitrified,1,1,3,Residential Apartment
1500,1300,1110,145,5,1,Unfurnished,Sector 14 Kharghar,Spartex,3,3,3,Residential Apartment
650,,,30,3,1,Unfurnished,Taloja,Vitrified,1,1,2,Residential Apartment
1500,1200,1100,190,4,1,Unfurnished,Kharghar,Vitrified,3,3,3,Residential Apartment
1514,,1080,240,4,1,Unfurnished,kurla (west),Vitrified,3,3,2,Residential Apartment
,700,,49,4,1,Unfurnished,Ulwe,Vitrified,2,1,2,Residential Apartment
,,1100,660,9,2,,Khar West,Marble,3,3,0,Residential Apartment
1000,,,55,2,1,,Chanakya Nagar,Cement,2,2,0,Residential Apartment
,630,,45,1,1,Unfurnished,Kharghar,,1,1,0,Residential Apartment
861,,600,168,5,1,,Powai,Vitrified,2,2,2,Residential Apartment
1800,1600,1300,751,1,2,Furnished,Walkeshwar,Marble,3,3,1,Residential Apartment
688,,,50,8,1,Unfurnished,Ulwe,Vitrified,1,1,2,Residential Apartment
,1450,1050,255,11,2,Semifurnished,Bhandup (West),Vitrified,3,3,2,Residential Apartment
,,628,80,1,1,Unfurnished,Ghodbunder Road,Vitrified,2,2,2,Residential Apartment
,930,,78,5,1,Furnished,Yogidham,Vitrified,2,2,3,Residential Apartment
,315,240,20,4,1,,Bhayander (West),Marble,1,1,0,Residential Apartment
1140,,,83.51,7,1,,Sector 17 Ulwe,Vitrified,2,2,3,Residential Apartment
,600,,35.11,1,,,Kalyan (West),Vitrified,1,1,0,Residential Apartment
,370,,75,1,15,,Eksar,Marble,1,1,0,Residential Apartment
1000,850,750,95,3,,Semifurnished,Thane West,Spartex,1,2,1,Independent/Builder Floor
850,650,550,300,1,1,Semifurnished,Bandra (West),Vitrified,2,2,1,Residential Apartment
,302,,29,2,1,,Sector-16 Kharghar,,1,1,0,Residential Apartment
,580,406,16.82,4,2,,Karjat,,1,1,3,Residential Apartment
650,,450,75,6,1,Semifurnished,Sector 20 Airoli,Vitrified,1,1,3,Residential Apartment
890,729,605,76,4,1,Furnished,Mira Road,Vitrified,2,2,2,Residential Apartment
690,,,55,14,1,Unfurnished,Sector-18 Ulwe,Vitrified,1,1,2,Residential Apartment
1230,1160,800,110,5,1,Unfurnished,Sector 36 Kharghar,Vitrified,2,2,2,Residential Apartment
,350,,47,2,1,,Thane West,Vitrified,1,1,1,Residential Apartment
900,850,650,202,4,2,,Raheja Vihar,Marble,2,2,2,Residential Apartment
,635,444,23.5,5,1,Unfurnished,Badlapur,Vitrified,1,1,1,Residential Apartment
1075,1020,730,89,11,1,Unfurnished,Sector-35G Kharghar,Vitrified,2,2,2,Residential Apartment
325,300,275,24,4,,Furnished,Kalwa,,1,1,0,Residential Apartment
,753,,42,1,1,Furnished,New Panvel,,1,2,3,Residential Apartment
1650,,,140,4,1,,Sector 20 Kharghar,Vitrified,3,3,3,Residential Apartment
,640,,46,2,1,,Malad (West),,1,1,0,Residential Apartment
1150,1050,850,110,11,1,Unfurnished,Kharghar,Vitrified,2,2,2,Residential Apartment
1200,,,93,7,1,Unfurnished,Sector 36 Kamothe,Vitrified,2,2,3,Residential Apartment
492,,,18.5,,1,Unfurnished,Badlapur (East),,1,1,1,Residential Apartment
510,,,48,1,,,Bhayander (East),Vitrified,1,1,0,Residential Apartment
705,,,25.52,1,1,Unfurnished,Badlapur (East),Vitrified,1,1,2,Residential Apartment
,,38.76,42,1,1,,Sector 36 Kharghar,Vitrified,1,1,1,Residential Apartment
,693,494,36,3,1,Unfurnished,Dombivli (East),Vitrified,1,1,1,Residential Apartment
768,586,443,33,1,1,,Dombivli (East),,1,1,0,Residential Apartment
,,880,215,14,1,Semifurnished,Bhandup (West),Vitrified,3,3,2,Residential Apartment
682,,445,56,1,1,Unfurnished,Ghodbunder Road,Vitrified,1,1,1,Residential Apartment
632,,,42,7,1,Unfurnished,Sector 17 Ulwe,Vitrified,1,1,2,Residential Apartment
,465,385,90,5,2,Semifurnished,Borivali (East),Mosaic,1,1,0,Residential Apartment
1450,1000,890,649,10,1,Unfurnished,Mahalaxmi,Marble,3,3,0,Residential Apartment
591,,381,75,1,,,Sanpada,,1,1,0,Residential Apartment
,350,220,40,7,1,Unfurnished,Maharashtra Nagar,,1,1,0,Residential Apartment
,545,475,45,3,,Semifurnished,Nandivali Panchanand,Mosaic,1,1,1,Residential Apartment
3640,2650,2162,885,21,4,Semifurnished,Goregaon (East),Marble,6,6,3,Residential Apartment
3400,3399,2286,1200,16,3,Furnished,Gandhi Nagar,Marble,5,4,3,Residential Apartment
1325,1324,834,65,1,1,Unfurnished,Taloja,Vitrified,2,2,2,Residential Apartment
,,550,130,3,1,Furnished,Ghatkopar West,Vitrified,1,2,0,Residential Apartment
,365,,29,3,1,,Indralok Phase 1,Vitrified,1,1,0,Residential Apartment
700,,,48,7,1,Unfurnished,Sector-17 Kamothe,Vitrified,1,1,3,Residential Apartment
1320,1300,950,329,22,1,Semifurnished,Parel,Vitrified,2,2,3,Residential Apartment
420,,230,43.5,7,1,Unfurnished,Bhandup (West),Vitrified,1,1,0,Other
1720,1450,1200,490,8,1,Unfurnished,Parel,Vitrified,2,3,1,Residential Apartment
,,464,69,6,1,Unfurnished,Kasar vadavali,Vitrified,2,1,2,Residential Apartment
,1000,,65,4,1,Unfurnished,Sector 17 Ulwe,Vitrified,2,2,3,Residential Apartment
,1250,950,175,5,1,Semifurnished,Sangharsh Nagar,,2,2,1,Residential Apartment
700,,,48,6,,,Mira Road East,Vitrified,1,1,2,Residential Apartment
675,,,50,6,1,Unfurnished,Bevarly Park,,2,1,3,Residential Apartment
,1190,,300,5,1,,Veera Desai Road,,2,3,0,Residential Apartment
700,650,401,46.51,3,,Unfurnished,Kamothe,Vitrified,1,1,2,Residential Apartment
850,849,648,86,4,1,Unfurnished,Manpada,Spartex,2,2,0,Residential Apartment
715,644,465,51,9,1,,Sector-8 Kalamboli,Vitrified,1,1,0,Residential Apartment
1250,,850,220,7,1,Unfurnished,kurla (west),Vitrified,2,2,1,Residential Apartment
,3233,2424.75,125,2,1,Unfurnished,umbergaon,,5,5,1,Independent House/Villa
1300,1200,1000,325,5,1,Unfurnished,Andheri (East),Vitrified,3,3,0,Residential Apartment
545,,,42,3,1,,Dombivli (East),,1,1,1,Residential Apartment
1350,1300,850,299,16,1,Semifurnished,Wadala East,Vitrified,2,2,2,Residential Apartment
,1040,780,110,21,1,,Majiwada,Vitrified,3,2,0,Residential Apartment
1395,1370,1000,135,8,1,Unfurnished,Sector-35G Kharghar,Vitrified,3,3,3,Residential Apartment
1913,1855,1306,405,25,1,Semifurnished,Ghatkopar West,Vitrified,3,3,2,Residential Apartment
1759,1584,1144,162,3,1,Unfurnished,Sector 4 Kharghar,Vitrified,2,2,1,Residential Apartment
1090,,,95,8,2,Unfurnished,Sector-25 Khandeshhwar,,2,2,2,Residential Apartment
,595,,77.5,2,1,,Hiranandani Estate,Marble,2,1,0,Residential Apartment
2754,,,660,16,2,Semifurnished,Jogeshwari (East),Marble,4,6,3,Residential Apartment
600,595,480,35,3,1,,Tisgao Naka,Vitrified,1,1,3,Residential Apartment
,655,,25,6,1,Semifurnished,Badlapur (West),Vitrified,1,1,3,Residential Apartment
550,,425,85,2,1,Furnished,I C Colony,Vitrified,1,1,0,Residential Apartment
1028,,,98,6,1,,Sector-14 Koparkhairane,Marble,2,2,3,Residential Apartment
954,,650,109,15,1,Semifurnished,Majiwada,Ceramic,2,2,2,Residential Apartment
,,414,99,1,1,Unfurnished,Andheri (East),Vitrified,2,1,0,Residential Apartment
750,680,450,52.5,2,1,Unfurnished,Sector 23 Ulwe,Vitrified,2,1,2,Residential Apartment
610,,410,46,2,,,Sector 18 Kamothe,Vitrified,1,1,1,Residential Apartment
1140,,,80,8,1,Unfurnished,Ulwe,Vitrified,2,2,3,Residential Apartment
,850,,155,3,,Semifurnished,Malad (East),Vitrified,2,2,1,Residential Apartment
,1140,,85,8,1,Unfurnished,Sector-18 Ulwe,Vitrified,2,2,2,Residential Apartment
1229,,,129,13,1,Semifurnished,Vidya Vihar West,Vitrified,2,2,3,Residential Apartment
1570,,,195,11,2,Furnished,Majiwada,Vitrified,3,3,1,Residential Apartment
935,,700,115,1,,,Kandivali (West),,2,2,0,Residential Apartment
